"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPS_US_PATH2198_R1","GPS_US_PATH2202_R1","GPS_US_PATH2210_R1","GPS_US_PATH2228_R1","GPS_US_PATH2234_R1","GPS_US_PATH2242_R1","GPS_US_PATH2248_R1","GPS_US_PATH2249_R1","GPS_US_PATH2250_R1","GPS_US_PATH2255_R1","GPS_US_PATH2268_R1","GPS_US_PATH2274_R1","GPS_US_PATH2296_R1","GPS_US_PATH2298_R1","GPS_US_PATH2307_R1","GPS_US_PATH3382_R1","GPS_US_PATH5902_R1","GPS_US_PATH5908_R1","GPS_US_PATH5912_R1","GPS_US_PATH5916_R1","GPS_US_PATH5924_R1","GPS_US_PATH5938_R1","PATH2203","PATH2207","PATH2211","PATH2215","PATH2218","PATH2220","PATH2225","PATH2226","PATH2229","PATH2230","PATH2231","PATH2233","PATH2239","PATH2240","PATH2251","PATH2253","PATH2256","PATH2261","PATH2262","PATH2263","PATH2264","PATH2265","PATH2267","PATH2272","PATH2279","PATH2280","PATH2281","PATH2285","PATH2290","PATH2294","PATH2295","PATH2297","PATH2300","PATH2311","PATH2313","PATH3356","PATH3359","PATH3360","PATH3366","PATH3370","PATH3375","PATH3379","PATH3383","PATH5904","PATH5906","PATH5907","PATH5909","PATH5915","PATH5922","PATH5923","PATH5926","PATH5930","PATH5931","PATH5934","PATH5935","PATH5941","PATH5942","PATH5944","PATH5946","PATH5947","PATH5950","PATH5952","PATH5953","PATH5960"
"malM","","4-alpha-glucanotransferase (amylomaltase)","86","86","1","1","599","","","","1517","1517","1517","19084_7#73_01855","19084_7#74_01443","19084_7#75_01046","19084_7#77_01166","19084_7#78_00708","19084_7#80_01506","19084_7#85_01472","19084_7#86_01125","19084_7#87_01855","19084_7#88_01829","19084_7#89_00808","19084_7#93_01167","19084_7#95_01786","19084_7#96_01290","19084_7#98_00767","19084_8#46_01085","19084_8#106_01777","19084_8#107_01918","19084_8#109_01589","19084_8#110_01526","19084_8#111_00899","19084_8#113_01420","11657_8#36_00837","11657_8#39_00537","11679_1#60_01097","11658_2#46_01244","11679_1#63_01582","11658_2#44_01276","11658_2#39_00434","11511_8#64_00979","11511_8#66_00813","11658_2#38_01505","11658_2#37_00649","11511_8#67_01889","11657_8#42_01098","11658_2#33_00469","11511_8#69_00438","11679_1#70_00603","11658_2#28_01461","11657_4#76_01247","11658_2#27_01218","11511_8#71_01664","11657_4#77_01095","11511_8#72_01572","11657_4#78_01109","11658_2#24_01322","11822_8#80_01049","11679_1#73_00539","11658_2#23_00428","11679_1#75_01123","11657_4#83_00427","11658_2#19_00852","11657_4#85_01216","11679_1#79_01601","11657_4#86_00663","11658_2#12_01123","11658_2#11_00599","11679_1#82_01122","11657_8#46_01481","11511_8#81_01955","11893_8#29_01213","11679_1#89_01289","11658_8#9_01914","11657_4#90_00656","11658_2#5_01351","11679_1#93_01426","11657_8#52_00990","11658_8#11_01466","11658_2#4_00374","11511_8#89_02073","11679_1#94_01759","11679_1#95_00998","11657_8#56_00412","11511_8#92_01001","11511_8#93_01983","11657_4#95_01206","13154_2#34_00905","12291_1#1_01980","12291_1#2_01050","12291_1#4_00857","12291_1#6_01182","12291_1#7_00811","12838_1#61_01563","12291_1#12_00680","12291_1#13_00236","12291_1#20_01700"
"fepD_2","","iron-compound ABC transporter permease","86","86","1","1","3157","","","","1007","1007","1007","19084_7#73_01586","19084_7#74_00112","19084_7#75_00758","19084_7#77_01963","19084_7#78_01644","19084_7#80_01814","19084_7#85_00736","19084_7#86_01843","19084_7#87_01261","19084_7#88_01164","19084_7#89_01262","19084_7#93_01550","19084_7#95_00586","19084_7#96_00393","19084_7#98_02052","19084_8#46_00004","19084_8#106_01542","19084_8#107_00121","19084_8#109_01906","19084_8#110_02031","19084_8#111_01093","19084_8#113_01505","11657_8#36_01304","11657_8#39_01431","11679_1#60_01934","11658_2#46_01570","11679_1#63_00530","11658_2#44_01404","11658_2#39_01555","11511_8#64_01254","11511_8#66_01575","11658_2#38_01770","11658_2#37_01873","11511_8#67_01596","11657_8#42_01259","11658_2#33_01748","11511_8#69_00773","11679_1#70_01351","11658_2#28_01896","11657_4#76_01369","11658_2#27_01051","11511_8#71_00177","11657_4#77_01285","11511_8#72_01692","11657_4#78_01430","11658_2#24_01565","11822_8#80_01319","11679_1#73_01171","11658_2#23_01482","11679_1#75_01198","11657_4#83_01552","11658_2#19_01853","11657_4#85_02050","11679_1#79_01086","11657_4#86_01031","11658_2#12_01195","11658_2#11_01185","11679_1#82_01396","11657_8#46_01421","11511_8#81_01900","11893_8#29_02074","11679_1#89_01488","11658_8#9_00847","11657_4#90_00961","11658_2#5_01534","11679_1#93_01242","11657_8#52_01235","11658_8#11_01730","11658_2#4_01075","11511_8#89_01939","11679_1#94_01329","11679_1#95_01061","11657_8#56_00843","11511_8#92_01276","11511_8#93_01687","11657_4#95_01742","13154_2#34_01793","12291_1#1_01413","12291_1#2_01103","12291_1#4_01713","12291_1#6_01747","12291_1#7_01620","12838_1#61_01167","12291_1#12_01770","12291_1#13_01790","12291_1#20_01458"
"dinG","","ATP-dependent helicase DinG","86","86","1","1","3977","","","","2450","2450","2450","19084_7#73_00343","19084_7#74_00684","19084_7#75_02128","19084_7#77_02024","19084_7#78_00329","19084_7#80_00057","19084_7#85_00009","19084_7#86_00196","19084_7#87_00187","19084_7#88_00186","19084_7#89_02208","19084_7#93_02191","19084_7#95_00884","19084_7#96_00663","19084_7#98_00858","19084_8#46_00507","19084_8#106_00664","19084_8#107_00718","19084_8#109_01938","19084_8#110_01657","19084_8#111_00687","19084_8#113_00682","11657_8#36_02114","11657_8#39_02145","11679_1#60_00500","11658_2#46_01098","11679_1#63_00924","11658_2#44_00008","11658_2#39_01899","11511_8#64_02187","11511_8#66_00592","11658_2#38_01596","11658_2#37_01478","11511_8#67_00985","11657_8#42_00192","11658_2#33_02098","11511_8#69_00661","11679_1#70_00807","11658_2#28_00816","11657_4#76_02124","11658_2#27_01657","11511_8#71_01761","11657_4#77_02151","11511_8#72_01330","11657_4#78_02094","11658_2#24_01597","11822_8#80_02151","11679_1#73_02171","11658_2#23_00205","11679_1#75_02130","11657_4#83_01454","11658_2#19_01885","11657_4#85_02103","11679_1#79_01748","11657_4#86_02104","11658_2#12_00913","11658_2#11_01315","11679_1#82_02158","11657_8#46_01383","11511_8#81_00863","11893_8#29_01790","11679_1#89_01080","11658_8#9_00589","11657_4#90_01535","11658_2#5_00452","11679_1#93_01275","11657_8#52_02088","11658_8#11_01819","11658_2#4_00203","11511_8#89_00586","11679_1#94_00681","11679_1#95_00741","11657_8#56_01429","11511_8#92_02148","11511_8#93_02038","11657_4#95_01774","13154_2#34_01961","12291_1#1_01492","12291_1#2_02131","12291_1#4_01814","12291_1#6_01656","12291_1#7_01808","12838_1#61_00652","12291_1#12_01580","12291_1#13_00926","12291_1#20_00206"
"vicX","","metallo-beta-lactamase superfamily protein","86","86","1","1","2913","","","","809","809","809","19084_7#73_00732","19084_7#74_00210","19084_7#75_00655","19084_7#77_00836","19084_7#78_00756","19084_7#80_01362","19084_7#85_00809","19084_7#86_01521","19084_7#87_01914","19084_7#88_00871","19084_7#89_00295","19084_7#93_00652","19084_7#95_01979","19084_7#96_00566","19084_7#98_01744","19084_8#46_01973","19084_8#106_01618","19084_8#107_00300","19084_8#109_00687","19084_8#110_00973","19084_8#111_00221","19084_8#113_01658","11657_8#36_00278","11657_8#39_00293","11679_1#60_01432","11658_2#46_00506","11679_1#63_00789","11658_2#44_01350","11658_2#39_00732","11511_8#64_00001","11511_8#66_01467","11658_2#38_01979","11658_2#37_00182","11511_8#67_01431","11657_8#42_01368","11658_2#33_00655","11511_8#69_01336","11679_1#70_01570","11658_2#28_00353","11657_4#76_00001","11658_2#27_01324","11511_8#71_00440","11657_4#77_00651","11511_8#72_00672","11657_4#78_00457","11658_2#24_00673","11822_8#80_00511","11679_1#73_00001","11658_2#23_00862","11679_1#75_00601","11657_4#83_01940","11658_2#19_01394","11657_4#85_01335","11679_1#79_00001","11657_4#86_01348","11658_2#12_01628","11658_2#11_00258","11679_1#82_00676","11657_8#46_00325","11511_8#81_01539","11893_8#29_00573","11679_1#89_01349","11658_8#9_01163","11657_4#90_00392","11658_2#5_01267","11679_1#93_00024","11657_8#52_00375","11658_8#11_01861","11658_2#4_01547","11511_8#89_00665","11679_1#94_00732","11679_1#95_00770","11657_8#56_01474","11511_8#92_00314","11511_8#93_01479","11657_4#95_01170","13154_2#34_01160","12291_1#1_01314","12291_1#2_00337","12291_1#4_00633","12291_1#6_01001","12291_1#7_01040","12838_1#61_00763","12291_1#12_01283","12291_1#13_00044","12291_1#20_00553"
"pksG","","hydroxymethylglutaryl-CoA synthase","86","86","1","1","2257","","","","1172","1172","1172","19084_7#73_01259","19084_7#74_00630","19084_7#75_00168","19084_7#77_00495","19084_7#78_01164","19084_7#80_01419","19084_7#85_01253","19084_7#86_00737","19084_7#87_01107","19084_7#88_01010","19084_7#89_00597","19084_7#93_00168","19084_7#95_01702","19084_7#96_01114","19084_7#98_00082","19084_8#46_01661","19084_8#106_01308","19084_8#107_01666","19084_8#109_00179","19084_8#110_00388","19084_8#111_00499","19084_8#113_01276","11657_8#36_00111","11657_8#39_00684","11679_1#60_01014","11658_2#46_01172","11679_1#63_00343","11658_2#44_00515","11658_2#39_00924","11511_8#64_00404","11511_8#66_00282","11658_2#38_01923","11658_2#37_00750","11511_8#67_00163","11657_8#42_00601","11658_2#33_01020","11511_8#69_01068","11679_1#70_00327","11658_2#28_00281","11657_4#76_00408","11658_2#27_00807","11511_8#71_00698","11657_4#77_00485","11511_8#72_01056","11657_4#78_00905","11658_2#24_00779","11822_8#80_00597","11679_1#73_00743","11658_2#23_00225","11679_1#75_00769","11657_4#83_00035","11658_2#19_00476","11657_4#85_00170","11679_1#79_00471","11657_4#86_00167","11658_2#12_01469","11658_2#11_01143","11679_1#82_00842","11657_8#46_00664","11511_8#81_01150","11893_8#29_00121","11679_1#89_00788","11658_8#9_01352","11657_4#90_00103","11658_2#5_00166","11679_1#93_01839","11657_8#52_00485","11658_8#11_00453","11658_2#4_00910","11511_8#89_01176","11679_1#94_00274","11679_1#95_00269","11657_8#56_02018","11511_8#92_00723","11511_8#93_00925","11657_4#95_00135","13154_2#34_00779","12291_1#1_00477","12291_1#2_00167","12291_1#4_00333","12291_1#6_00241","12291_1#7_00535","12838_1#61_00462","12291_1#12_00305","12291_1#13_01149","12291_1#20_01728"
"rpsM","","SSU ribosomal protein S13p (S18e)","86","86","1","1","432","","","","365","365","365","19084_7#73_00209","19084_7#74_01035","19084_7#75_01287","19084_7#77_00265","19084_7#78_00072","19084_7#80_00404","19084_7#85_00496","19084_7#86_00337","19084_7#87_00422","19084_7#88_00545","19084_7#89_00332","19084_7#93_00743","19084_7#95_00209","19084_7#96_00250","19084_7#98_00511","19084_8#46_00612","19084_8#106_00155","19084_8#107_01259","19084_8#109_00410","19084_8#110_00099","19084_8#111_01367","19084_8#113_00292","11657_8#36_00764","11657_8#39_00947","11679_1#60_00205","11658_2#46_00156","11679_1#63_00096","11658_2#44_00290","11658_2#39_00544","11511_8#64_00669","11511_8#66_00526","11658_2#38_00996","11658_2#37_00243","11511_8#67_00678","11657_8#42_00475","11658_2#33_00272","11511_8#69_00186","11679_1#70_00139","11658_2#28_01265","11657_4#76_00671","11658_2#27_00207","11511_8#71_00625","11657_4#77_00278","11511_8#72_00137","11657_4#78_00597","11658_2#24_00188","11822_8#80_00805","11679_1#73_01454","11658_2#23_00957","11679_1#75_00098","11657_4#83_01681","11658_2#19_00245","11657_4#85_00420","11679_1#79_00757","11657_4#86_00797","11658_2#12_00087","11658_2#11_00448","11679_1#82_00128","11657_8#46_00140","11511_8#81_00301","11893_8#29_00329","11679_1#89_00426","11658_8#9_00331","11657_4#90_00826","11658_2#5_00945","11679_1#93_00568","11657_8#52_00784","11658_8#11_00096","11658_2#4_00686","11511_8#89_00190","11679_1#94_00399","11679_1#95_00037","11657_8#56_00141","11511_8#92_00351","11511_8#93_01384","11657_4#95_00364","13154_2#34_00204","12291_1#1_01173","12291_1#2_00831","12291_1#4_00152","12291_1#6_00363","12291_1#7_00101","12838_1#61_00183","12291_1#12_00638","12291_1#13_00444","12291_1#20_00456"
"purA","","adenylosuccinate synthetase","86","86","1","1","5081","","","","1328","1328","1328","19084_7#73_00005","19084_7#74_01897","19084_7#75_01624","19084_7#77_01597","19084_7#78_00274","19084_7#80_02072","19084_7#85_01978","19084_7#86_00544","19084_7#87_00625","19084_7#88_00342","19084_7#89_01725","19084_7#93_00984","19084_7#95_00006","19084_7#96_00002","19084_7#98_02149","19084_8#46_00813","19084_8#106_01818","19084_8#107_01483","19084_8#109_01552","19084_8#110_01489","19084_8#111_01948","19084_8#113_00486","11657_8#36_00561","11657_8#39_01980","11679_1#60_01853","11658_2#46_01623","11679_1#63_01899","11658_2#44_01568","11658_2#39_02170","11511_8#64_01825","11511_8#66_01794","11658_2#38_01666","11658_2#37_02222","11511_8#67_01664","11657_8#42_00954","11658_2#33_00182","11511_8#69_00397","11679_1#70_01880","11658_2#28_01050","11657_4#76_01532","11658_2#27_00004","11511_8#71_02018","11657_4#77_02051","11511_8#72_01460","11657_4#78_00791","11658_2#24_01961","11822_8#80_01007","11679_1#73_02039","11658_2#23_01047","11679_1#75_02025","11657_4#83_02043","11658_2#19_01589","11657_4#85_01681","11679_1#79_02034","11657_4#86_01872","11658_2#12_02135","11658_2#11_02075","11679_1#82_00376","11657_8#46_01118","11511_8#81_00053","11893_8#29_02180","11679_1#89_01519","11658_8#9_01875","11657_4#90_01390","11658_2#5_02075","11679_1#93_01655","11657_8#52_01646","11658_8#11_01351","11658_2#4_01650","11511_8#89_00002","11679_1#94_01491","11679_1#95_00863","11657_8#56_02195","11511_8#92_00552","11511_8#93_01830","11657_4#95_01540","13154_2#34_02041","12291_1#1_01936","12291_1#2_00638","12291_1#4_01477","12291_1#6_02044","12291_1#7_01241","12838_1#61_02007","12291_1#12_01960","12291_1#13_01647","12291_1#20_01803"
"gpmA_1","","phosphoglyceromutase","86","86","1","1","2176","","","","692","692","692","19084_7#73_01326","19084_7#74_00564","19084_7#75_00236","19084_7#77_00429","19084_7#78_01098","19084_7#80_01094","19084_7#85_01186","19084_7#86_01608","19084_7#87_01041","19084_7#88_00944","19084_7#89_00665","19084_7#93_00236","19084_7#95_01211","19084_7#96_01534","19084_7#98_00015","19084_8#46_01727","19084_8#106_01381","19084_8#107_01734","19084_8#109_00247","19084_8#110_00455","19084_8#111_00567","19084_8#113_01206","11657_8#36_00043","11657_8#39_00616","11679_1#60_00030","11658_2#46_00976","11679_1#63_00274","11658_2#44_00448","11658_2#39_01444","11511_8#64_00336","11511_8#66_00349","11658_2#38_01884","11658_2#37_00816","11511_8#67_00230","11657_8#42_01875","11658_2#33_00764","11511_8#69_01135","11679_1#70_01803","11658_2#28_00216","11657_4#76_00340","11658_2#27_00737","11511_8#71_01289","11657_4#77_00417","11511_8#72_00986","11657_4#78_00838","11658_2#24_01205","11822_8#80_00528","11679_1#73_00811","11658_2#23_01567","11679_1#75_00837","11657_4#83_01829","11658_2#19_00410","11657_4#85_00239","11679_1#79_00539","11657_4#86_00234","11658_2#12_00014","11658_2#11_01077","11679_1#82_00910","11657_8#46_00594","11511_8#81_00822","11893_8#29_00188","11679_1#89_00725","11658_8#9_00155","11657_4#90_00037","11658_2#5_00236","11679_1#93_01773","11657_8#52_00417","11658_8#11_00522","11658_2#4_01866","11511_8#89_01108","11679_1#94_00207","11679_1#95_00335","11657_8#56_00493","11511_8#92_00791","11511_8#93_00992","11657_4#95_00201","13154_2#34_00709","12291_1#1_00410","12291_1#2_00235","12291_1#4_00264","12291_1#6_00309","12291_1#7_00604","12838_1#61_00530","12291_1#12_00234","12291_1#13_00730","12291_1#20_01503"
"guaA_1","","GMP synthase","86","86","1","1","1781","","","","1562","1562","1562","19084_7#73_01933","19084_7#74_00371","19084_7#75_00475","19084_7#77_01921","19084_7#78_01969","19084_7#80_00656","19084_7#85_00994","19084_7#86_01802","19084_7#87_00748","19084_7#88_00668","19084_7#89_00114","19084_7#93_00471","19084_7#95_01084","19084_7#96_01388","19084_7#98_00350","19084_8#46_00857","19084_8#106_00864","19084_8#107_00467","19084_8#109_00038","19084_8#110_01794","19084_8#111_00606","19084_8#113_01014","11657_8#36_00458","11657_8#39_00114","11679_1#60_00706","11658_2#46_01962","11679_1#63_01350","11658_2#44_00565","11658_2#39_00061","11511_8#64_00181","11511_8#66_00915","11658_2#38_00358","11658_2#37_01910","11511_8#67_00413","11657_8#42_00869","11658_2#33_01813","11511_8#69_01274","11679_1#70_01487","11658_2#28_00036","11657_4#76_00183","11658_2#27_00557","11511_8#71_00059","11657_4#77_00830","11511_8#72_00472","11657_4#78_00275","11658_2#24_01652","11822_8#80_00332","11679_1#73_00181","11658_2#23_00744","11679_1#75_00422","11657_4#83_01030","11658_2#19_01666","11657_4#85_00795","11679_1#79_00181","11657_4#86_00359","11658_2#12_01752","11658_2#11_00059","11679_1#82_00496","11657_8#46_01780","11511_8#81_00640","11893_8#29_01699","11679_1#89_01653","11658_8#9_00034","11657_4#90_01672","11658_2#5_01067","11679_1#93_00219","11657_8#52_00195","11658_8#11_01566","11658_2#4_01738","11511_8#89_01885","11679_1#94_00025","11679_1#95_01553","11657_8#56_01551","11511_8#92_00135","11511_8#93_00401","11657_4#95_01841","13154_2#34_01238","12291_1#1_00814","12291_1#2_00518","12291_1#4_01847","12291_1#6_00923","12291_1#7_01876","12838_1#61_00863","12291_1#12_01827","12291_1#13_01708","12291_1#20_00808"
"bgaC","","beta-galactosidase 3","86","86","1","1","5126","","","","1787","1787","1787","19084_7#73_00048","19084_7#74_01862","19084_7#75_01580","19084_7#77_01634","19084_7#78_00231","19084_7#80_00728","19084_7#85_01941","19084_7#86_00508","19084_7#87_00582","19084_7#88_00385","19084_7#89_01680","19084_7#93_00892","19084_7#95_00042","19084_7#96_00098","19084_7#98_01931","19084_8#46_00770","19084_8#106_01907","19084_8#107_01439","19084_8#109_01515","19084_8#110_01452","19084_8#111_01903","19084_8#113_00449","11657_8#36_00606","11657_8#39_01511","11679_1#60_01816","11658_2#46_01584","11679_1#63_02078","11658_2#44_01529","11658_2#39_00846","11511_8#64_01780","11511_8#66_01777","11658_2#38_01627","11658_2#37_01838","11511_8#67_01709","11657_8#42_02010","11658_2#33_00100","11511_8#69_00345","11679_1#70_01842","11658_2#28_01094","11657_4#76_01489","11658_2#27_00061","11511_8#71_01573","11657_4#77_00129","11511_8#72_01518","11657_4#78_00746","11658_2#24_01631","11822_8#80_00962","11679_1#73_01543","11658_2#23_01086","11679_1#75_00255","11657_4#83_00936","11658_2#19_01552","11657_4#85_01739","11679_1#79_00998","11657_4#86_02058","11658_2#12_01269","11658_2#11_01912","11679_1#82_00286","11657_8#46_01686","11511_8#81_00148","11893_8#29_01059","11679_1#89_01558","11658_8#9_01838","11657_4#90_01352","11658_2#5_01972","11679_1#93_01743","11657_8#52_01710","11658_8#11_00578","11658_2#4_01607","11511_8#89_00040","11679_1#94_01849","11679_1#95_00824","11657_8#56_01768","11511_8#92_00508","11511_8#93_01779","11657_4#95_01503","13154_2#34_00030","12291_1#1_01885","12291_1#2_00682","12291_1#4_01440","12291_1#6_01410","12291_1#7_01278","12838_1#61_01625","12291_1#12_01730","12291_1#13_01621","12291_1#20_01585"
"fmt","","methionyl-tRNA formyltransferase","86","86","1","1","2266","","","","935","935","935","19084_7#73_01251","19084_7#74_01113","19084_7#75_00159","19084_7#77_00503","19084_7#78_01172","19084_7#80_01427","19084_7#85_01261","19084_7#86_00728","19084_7#87_01115","19084_7#88_01018","19084_7#89_00588","19084_7#93_00159","19084_7#95_01694","19084_7#96_01105","19084_7#98_00091","19084_8#46_01653","19084_8#106_01300","19084_8#107_01657","19084_8#109_00171","19084_8#110_00380","19084_8#111_00490","19084_8#113_02034","11657_8#36_00119","11657_8#39_00693","11679_1#60_01005","11658_2#46_01164","11679_1#63_01744","11658_2#44_00524","11658_2#39_00933","11511_8#64_00413","11511_8#66_00273","11658_2#38_00531","11658_2#37_00741","11511_8#67_00155","11657_8#42_00610","11658_2#33_01028","11511_8#69_01059","11679_1#70_00336","11658_2#28_00289","11657_4#76_00417","11658_2#27_00815","11511_8#71_00689","11657_4#77_00494","11511_8#72_01064","11657_4#78_00914","11658_2#24_00786","11822_8#80_00605","11679_1#73_00734","11658_2#23_00233","11679_1#75_00760","11657_4#83_00043","11658_2#19_00483","11657_4#85_00162","11679_1#79_00462","11657_4#86_00159","11658_2#12_00290","11658_2#11_01151","11679_1#82_00835","11657_8#46_01663","11511_8#81_01159","11893_8#29_00112","11679_1#89_00796","11658_8#9_01343","11657_4#90_00110","11658_2#5_00160","11679_1#93_00789","11657_8#52_00494","11658_8#11_01890","11658_2#4_00917","11511_8#89_01185","11679_1#94_00282","11679_1#95_01463","11657_8#56_01682","11511_8#92_00714","11511_8#93_00917","11657_4#95_00128","13154_2#34_00787","12291_1#1_00006","12291_1#2_00158","12291_1#4_00340","12291_1#6_00232","12291_1#7_00528","12838_1#61_00454","12291_1#12_00313","12291_1#13_01157","12291_1#20_02011"
"tauB","","nitrate/sulfonate/bicarbonate ABC transporter ATP-binding protein","86","86","1","1","1488","","","","725","728","727","19084_7#73_00862","19084_7#74_01355","19084_7#75_01514","19084_7#77_01426","19084_7#78_00604","19084_7#80_00450","19084_7#85_01557","19084_7#86_01216","19084_7#87_01327","19084_7#88_01489","19084_7#89_00898","19084_7#93_01078","19084_7#95_01895","19084_7#96_01208","19084_7#98_00683","19084_8#46_01552","19084_8#106_02200","19084_8#107_01830","19084_8#109_01685","19084_8#110_01571","19084_8#111_01006","19084_8#113_01338","11657_8#36_00927","11657_8#39_00448","11679_1#60_01204","11658_2#46_01425","11679_1#63_01756","11658_2#44_01064","11658_2#39_01707","11511_8#64_00890","11511_8#66_01302","11658_2#38_00249","11658_2#37_00864","11511_8#67_01251","11657_8#42_01498","11658_2#33_00387","11511_8#69_00530","11679_1#70_00710","11658_2#28_01699","11657_4#76_01132","11658_2#27_01136","11511_8#71_01017","11657_4#77_01006","11511_8#72_01658","11657_4#78_01199","11658_2#24_01031","11822_8#80_01138","11679_1#73_00451","11658_2#23_01997","11679_1#75_01035","11657_4#83_01388","11658_2#19_00619","11657_4#85_01130","11679_1#79_01173","11657_4#86_00575","11658_2#12_00560","11658_2#11_00689","11679_1#82_01033","11657_8#46_00680","11511_8#81_01398","11893_8#29_00499","11679_1#89_00335","11658_8#9_01452","11657_4#90_01122","11658_2#5_01831","11679_1#93_01395","11657_8#52_00876","11658_8#11_00318","11658_2#4_01518","11511_8#89_01034","11679_1#94_00896","11679_1#95_00463","11657_8#56_01363","11511_8#92_00913","11511_8#93_00840","11657_4#95_01011","13154_2#34_01280","12291_1#1_00623","12291_1#2_01318","12291_1#4_01292","12291_1#6_00797","12291_1#7_00392","12838_1#61_01285","12291_1#12_01494","12291_1#13_00323","12291_1#20_00291"
"efp","","Translation elongation factor P","86","86","1","1","4723","","","","560","560","560","19084_7#73_01010","19084_7#74_01493","19084_7#75_00854","19084_7#77_00088","19084_7#78_01020","19084_7#80_01053","19084_7#85_00318","19084_7#86_00942","19084_7#87_00927","19084_7#88_01248","19084_7#89_01097","19084_7#93_01226","19084_7#95_00383","19084_7#96_01711","19084_7#98_01139","19084_8#46_01168","19084_8#106_00337","19084_8#107_01075","19084_8#109_00592","19084_8#110_00559","19084_8#111_01831","19084_8#113_00103","11657_8#36_01212","11657_8#39_01272","11679_1#60_01622","11658_2#46_00957","11679_1#63_01861","11658_2#44_00669","11658_2#39_00304","11511_8#64_01419","11511_8#66_01026","11658_2#38_00004","11658_2#37_00515","11511_8#67_01847","11657_8#42_01426","11658_2#33_01287","11511_8#69_02041","11679_1#70_01647","11658_2#28_00607","11657_4#76_01001","11658_2#27_00381","11511_8#71_00294","11657_4#77_01194","11511_8#72_00313","11657_4#78_01342","11658_2#24_00393","11822_8#80_01888","11679_1#73_01081","11658_2#23_01196","11679_1#75_01357","11657_4#83_01141","11658_2#19_00069","11657_4#85_01400","11679_1#79_00691","11657_4#86_01165","11658_2#12_01507","11658_2#11_01651","11679_1#82_00063","11657_8#46_01952","11511_8#81_00472","11893_8#29_01888","11679_1#89_00069","11658_8#9_01607","11657_4#90_01429","11658_2#5_00769","11679_1#93_02207","11657_8#52_01445","11658_8#11_01933","11658_2#4_00293","11511_8#89_00373","11679_1#94_01916","11679_1#95_00887","11657_8#56_00212","11511_8#92_01099","11511_8#93_00084","11657_4#95_00540","13154_2#34_00396","12291_1#1_00161","12291_1#2_01484","12291_1#4_00537","12291_1#6_01253","12291_1#7_00690","12838_1#61_00019","12291_1#12_00472","12291_1#13_01569","12291_1#20_01222"
"ribF","","bifunctional riboflavin kinase/FMN adenylyltransferase","86","86","1","1","3561","","","","917","917","917","19084_7#73_01653","19084_7#74_00042","19084_7#75_01543","19084_7#77_01462","19084_7#78_01577","19084_7#80_00990","19084_7#85_00648","19084_7#86_01972","19084_7#87_01195","19084_7#88_01098","19084_7#89_01754","19084_7#93_01712","19084_7#95_00658","19084_7#96_00518","19084_7#98_01260","19084_8#46_00070","19084_8#106_01480","19084_8#107_00045","19084_8#109_01405","19084_8#110_01214","19084_8#111_00136","19084_8#113_01593","11657_8#36_01721","11657_8#39_01914","11679_1#60_01306","11658_2#46_01698","11679_1#63_01803","11658_2#44_01650","11658_2#39_01765","11511_8#64_01723","11511_8#66_01382","11658_2#38_02018","11658_2#37_01345","11511_8#67_02009","11657_8#42_01188","11658_2#33_01591","11511_8#69_01724","11679_1#70_01278","11658_2#28_01734","11657_4#76_01669","11658_2#27_01996","11511_8#71_01608","11657_4#77_01680","11511_8#72_02058","11657_4#78_01710","11658_2#24_01806","11822_8#80_01705","11679_1#73_01757","11658_2#23_01671","11679_1#75_01760","11657_4#83_00619","11658_2#19_01783","11657_4#85_00888","11679_1#79_01814","11657_4#86_01670","11658_2#12_01837","11658_2#11_01396","11679_1#82_01791","11657_8#46_01862","11511_8#81_01800","11893_8#29_00973","11679_1#89_01720","11658_8#9_00920","11657_4#90_00702","11658_2#5_01449","11679_1#93_01870","11657_8#52_01814","11658_8#11_01660","11658_2#4_01142","11511_8#89_01557","11679_1#94_02045","11679_1#95_01489","11657_8#56_01744","11511_8#92_01799","11511_8#93_01757","11657_4#95_01941","13154_2#34_01569","12291_1#1_01659","12291_1#2_01801","12291_1#4_01905","12291_1#6_00044","12291_1#7_01885","12838_1#61_01917","12291_1#12_01530","12291_1#13_01376","12291_1#20_01125"
