"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GPS_NP_0007","GPS_NP_0011","GPS_NP_0012","GPS_NP_0014","GPS_NP_0022","GPS_NP_0032","GPS_NP_0034","GPS_NP_0045","GPS_NP_0055","GPS_NP_0064","GPS_NP_1068","GPS_NP_1179","GPS_NP_1229","GPS_NP_1248","GPS_NP_1253","GPS_NP_1362","GPS_NP_1367","GPS_NP_1378","GPS_NP_1381","GPS_NP_2025","GPS_NP_2111","GPS_NP_2394","GPS_NP_2454","GPS_NP_2513","GPS_NP_2560","GPS_NP_4001","GPS_NP_4027","GPS_NP_4038","GPS_NP_4057","GPS_NP_4071","GPS_NP_4073","GPS_NP_4109","GPS_NP_4122","GPS_NP_4137","GPS_NP_4141","GPS_NP_4161","GPS_NP_4176","GPS_NP_4179","GPS_NP_6036","GPS_NP_6094","GPS_NP_6181","GPS_NP_6305","GPS_NP_6396","GPS_NP_6555","GPS_NP_6623","GPS_NP_6701","GPS_NP_6741","GPS_NP_6855","GPS_NP_6976","GPS_NP_8017","GPS_NP_8019","GPS_NP_8024","GPS_NP_8036","GPS_NP_8042","GPS_NP_8052","GPS_NP_8081","GPS_NP_8088","GPS_NP_8101","GPS_NP_8104","GPS_NP_8105","GPS_NP_8108","GPS_NP_8113","GPS_NP_8142","GPS_NP_8146","GPS_NP_8167","GPS_NP_8174","GPS_NP_8178","GPS_NP_8182","GPS_NP_8185","GPS_NP_8190","GPS_NP_8224","GPS_NP_8227","GPS_NP_8230","GPS_NP_8235","GPS_NP_8244","GPS_NP_8265","GPS_NP_8274","GPS_NP_8278","GPS_NP_9018","GPS_NP_9025","GPS_NP_9027","GPS_NP_9038","GPS_NP_9044","GPS_NP_9062","GPS_NP_9067","GPS_NP_9073","GPS_NP_9080","GPS_NP_9087","GPS_NP_9094","GPS_NP_9095","GPS_NP_9121","GPS_NP_9135","GPS_NP_9141","GPS_NP_9149","GPS_NP_9151","GPS_NP_9153","GPS_NP_9154","GPS_NP_9157","GPS_NP_9161","GPS_NP_9170"
"amiC","","peptide ABC transporter permease","100","100","1","1","3509","","","","1496","1496","1496","16288_3#7_01853","17138_5#50_01784","16288_7#10_00436","16288_7#12_01572","16288_7#20_02158","16288_3#12_02192","16288_3#14_02091","16288_8#60_00343","16288_3#34_01913","16288_3#43_01533","17138_5#56_00987","16288_7#55_00181","16288_7#74_00798","16288_7#82_00599","16288_7#83_01662","16288_8#40_02088","16288_8#44_01026","16288_8#47_01967","16288_8#50_01805","16288_3#71_00736","16288_3#81_01988","16288_3#54_01850","16288_4#43_02084","16288_4#49_01952","16288_4#52_01892","16288_4#59_02071","16288_4#69_00424","16288_4#73_02023","16288_4#83_01932","16288_5#5_02072","16288_5#46_00543","16288_5#19_00260","16288_5#23_01013","16288_5#31_02039","16288_5#33_00019","16288_5#40_01973","16288_5#44_01261","16288_5#45_01031","16288_5#54_01267","16288_5#60_01933","16288_5#75_00790","17138_5#13_00002","16288_6#15_01958","16288_6#30_01781","17138_5#31_00886","16288_6#49_01924","17138_5#34_01091","16288_6#73_01817","16288_8#64_01926","28832_1#91_00820","28832_1#9_00763","28832_1#113_01752","28832_1#125_01221","28832_1#324_00456","28832_1#160_00912","28832_1#245_00020","28832_1#116_01802","28832_1#145_01168","28832_1#229_02033","28832_1#253_00988","28832_1#340_00499","29102_1#74_02181","28832_1#265_01545","29102_1#189_01684","29102_1#200_02121","29102_1#43_02006","29102_1#185_01446","29102_1#270_01683","29102_1#14_00529","29102_1#144_01738","29102_1#133_01794","29102_1#217_01580","29102_1#290_00596","29102_1#108_01450","29102_1#320_01795","29102_1#183_02196","29102_1#125_00064","29102_1#186_01811","28832_1#134_01984","28832_1#278_00536","29102_1#101_00625","29102_1#97_01190","29102_1#41_02111","28832_1#223_00420","29102_1#213_01285","28832_1#189_01618","29102_1#71_02000","29102_1#57_02060","29102_1#230_01835","29102_1#209_01651","29102_1#227_00004","29102_1#33_00758","28832_1#280_02169","28832_1#162_01733","28832_1#332_01274","28832_1#273_01556","29102_1#167_02021","29102_1#90_00304","28832_1#157_00381","29102_1#54_01548"
"cinA","","damage inducible protein CinA","100","100","1","1","4536","","","","1256","1256","1256","16288_3#7_01313","17138_5#50_00198","16288_7#10_01489","16288_7#12_00790","16288_7#20_01730","16288_3#12_01417","16288_3#14_01296","16288_8#60_01550","16288_3#34_01419","16288_3#43_01324","17138_5#56_01826","16288_7#55_01103","16288_7#74_01307","16288_7#82_01605","16288_7#83_01451","16288_8#40_01079","16288_8#44_00956","16288_8#47_01315","16288_8#50_00238","16288_3#71_01100","16288_3#81_01479","16288_3#54_01708","16288_4#43_01343","16288_4#49_00926","16288_4#52_01086","16288_4#59_00427","16288_4#69_01988","16288_4#73_01876","16288_4#83_01540","16288_5#5_01393","16288_5#46_01523","16288_5#19_00878","16288_5#23_01081","16288_5#31_01704","16288_5#33_01014","16288_5#40_01265","16288_5#44_00042","16288_5#45_02138","16288_5#54_01610","16288_5#60_01393","16288_5#75_01624","17138_5#13_01941","16288_6#15_00938","16288_6#30_00614","17138_5#31_01964","16288_6#49_00974","17138_5#34_02192","16288_6#73_00733","16288_8#64_01980","28832_1#91_02140","28832_1#9_01984","28832_1#113_01489","28832_1#125_02120","28832_1#324_01973","28832_1#160_01414","28832_1#245_01901","28832_1#116_02127","28832_1#145_01761","28832_1#229_01693","28832_1#253_01161","28832_1#340_01351","29102_1#74_01495","28832_1#265_01996","29102_1#189_01946","29102_1#200_01759","29102_1#43_01776","29102_1#185_00868","29102_1#270_01587","29102_1#14_01326","29102_1#144_02085","29102_1#133_01863","29102_1#217_01979","29102_1#290_01987","29102_1#108_01618","29102_1#320_01673","29102_1#183_02035","29102_1#125_01749","29102_1#186_01899","28832_1#134_01799","28832_1#278_00043","29102_1#101_02022","29102_1#97_01260","29102_1#41_01771","28832_1#223_01602","29102_1#213_01599","28832_1#189_01865","29102_1#71_01706","29102_1#57_00627","29102_1#230_02115","29102_1#209_01753","29102_1#227_01561","29102_1#33_02113","28832_1#280_01266","28832_1#162_01983","28832_1#332_01857","28832_1#273_01728","29102_1#167_01495","29102_1#90_02008","28832_1#157_00311","29102_1#54_01803"
"act","","pyruvate formate-lyase-activating enzyme","100","100","1","1","4402","","","","794","794","794","16288_3#7_01342","17138_5#50_00169","16288_7#10_01461","16288_7#12_00818","16288_7#20_01702","16288_3#12_01446","16288_3#14_01268","16288_8#60_01579","16288_3#34_01391","16288_3#43_01359","17138_5#56_01855","16288_7#55_01132","16288_7#74_01335","16288_7#82_01633","16288_7#83_01416","16288_8#40_01051","16288_8#44_00984","16288_8#47_01287","16288_8#50_00266","16288_3#71_01127","16288_3#81_01507","16288_3#54_01630","16288_4#43_01315","16288_4#49_00953","16288_4#52_01058","16288_4#59_00399","16288_4#69_01711","16288_4#73_01641","16288_4#83_01569","16288_5#5_01365","16288_5#46_01495","16288_5#19_00850","16288_5#23_01109","16288_5#31_01674","16288_5#33_00986","16288_5#40_01236","16288_5#44_00070","16288_5#45_01962","16288_5#54_01582","16288_5#60_01364","16288_5#75_01596","17138_5#13_01914","16288_6#15_00910","16288_6#30_00643","17138_5#31_01992","16288_6#49_01001","17138_5#34_01774","16288_6#73_00761","16288_8#64_01405","28832_1#91_01977","28832_1#9_02012","28832_1#113_01517","28832_1#125_01890","28832_1#324_01945","28832_1#160_01385","28832_1#245_01873","28832_1#116_01952","28832_1#145_01730","28832_1#229_01721","28832_1#253_01133","28832_1#340_01379","29102_1#74_01524","28832_1#265_02024","29102_1#189_01919","29102_1#200_01787","29102_1#43_01804","29102_1#185_00786","29102_1#270_01559","29102_1#14_01298","29102_1#144_02057","29102_1#133_01834","29102_1#217_02073","29102_1#290_02059","29102_1#108_01646","29102_1#320_01708","29102_1#183_02063","29102_1#125_01722","29102_1#186_01871","28832_1#134_01770","28832_1#278_00071","29102_1#101_01994","29102_1#97_01289","29102_1#41_01742","28832_1#223_01574","29102_1#213_01570","28832_1#189_01893","29102_1#71_01677","29102_1#57_00599","29102_1#230_02144","29102_1#209_01781","29102_1#227_01533","29102_1#33_02050","28832_1#280_01239","28832_1#162_02011","28832_1#332_01826","28832_1#273_01700","29102_1#167_01523","29102_1#90_02037","28832_1#157_00283","29102_1#54_01831"
"mmsA","","branch migration of Holliday junctions, junction-specific DNA helicase,ATP-dependent DNA helicase, recG homolog","100","100","1","1","5263","","","","2015","2015","2015","16288_3#7_00887","17138_5#50_01755","16288_7#10_00269","16288_7#12_01197","16288_7#20_00166","16288_3#12_00729","16288_3#14_00104","16288_8#60_00517","16288_3#34_00427","16288_3#43_00382","17138_5#56_00880","16288_7#55_01025","16288_7#74_01990","16288_7#82_01280","16288_7#83_01066","16288_8#40_00795","16288_8#44_02004","16288_8#47_00942","16288_8#50_00512","16288_3#71_00199","16288_3#81_00121","16288_3#54_01131","16288_4#43_00883","16288_4#49_01516","16288_4#52_00215","16288_4#59_00020","16288_4#69_01866","16288_4#73_00444","16288_4#83_00874","16288_5#5_01079","16288_5#46_00858","16288_5#19_00446","16288_5#23_00075","16288_5#31_00113","16288_5#33_00199","16288_5#40_00112","16288_5#44_00834","16288_5#45_00703","16288_5#54_00780","16288_5#60_01576","16288_5#75_00617","17138_5#13_00175","16288_6#15_00365","16288_6#30_00544","17138_5#31_01084","16288_6#49_01492","17138_5#34_01190","16288_6#73_00074","16288_8#64_01672","28832_1#91_01001","28832_1#9_00930","28832_1#113_01022","28832_1#125_01412","28832_1#324_00632","28832_1#160_01088","28832_1#245_00183","28832_1#116_01264","28832_1#145_01347","28832_1#229_01404","28832_1#253_00182","28832_1#340_00680","29102_1#74_00169","28832_1#265_00709","29102_1#189_00361","29102_1#200_00079","29102_1#43_00893","29102_1#185_00201","29102_1#270_00971","29102_1#14_00329","29102_1#144_00464","29102_1#133_01211","29102_1#217_00884","29102_1#290_01502","29102_1#108_00561","29102_1#320_00706","29102_1#183_00957","29102_1#125_00498","29102_1#186_00845","28832_1#134_00173","28832_1#278_00710","29102_1#101_00806","29102_1#97_00245","29102_1#41_00156","28832_1#223_00594","29102_1#213_02115","28832_1#189_01391","29102_1#71_01069","29102_1#57_01152","29102_1#230_01439","29102_1#209_00516","29102_1#227_00174","29102_1#33_01385","28832_1#280_01955","28832_1#162_00167","28832_1#332_01453","28832_1#273_01029","29102_1#167_01144","29102_1#90_00100","28832_1#157_01393","29102_1#54_01444"
"gpmA_1","","phosphoglyceromutase","100","100","1","1","5199","","","","692","692","692","16288_3#7_00277","17138_5#50_00523","16288_7#10_01034","16288_7#12_01295","16288_7#20_00205","16288_3#12_00690","16288_3#14_00065","16288_8#60_00557","16288_3#34_00465","16288_3#43_00421","17138_5#56_00917","16288_7#55_01065","16288_7#74_01572","16288_7#82_01854","16288_7#83_01026","16288_8#40_01323","16288_8#44_00273","16288_8#47_00895","16288_8#50_00690","16288_3#71_00160","16288_3#81_00083","16288_3#54_01305","16288_4#43_00843","16288_4#49_00602","16288_4#52_00176","16288_4#59_00056","16288_4#69_00246","16288_4#73_00482","16288_4#83_00914","16288_5#5_01119","16288_5#46_00712","16288_5#19_01583","16288_5#23_00113","16288_5#31_00075","16288_5#33_00919","16288_5#40_00953","16288_5#44_00873","16288_5#45_00743","16288_5#54_00741","16288_5#60_01093","16288_5#75_00578","17138_5#13_00214","16288_6#15_00325","16288_6#30_00505","17138_5#31_01122","16288_6#49_00244","17138_5#34_02253","16288_6#73_00112","16288_8#64_00827","28832_1#91_01039","28832_1#9_00970","28832_1#113_01062","28832_1#125_01372","28832_1#324_00673","28832_1#160_00854","28832_1#245_00220","28832_1#116_01226","28832_1#145_01384","28832_1#229_01366","28832_1#253_00142","28832_1#340_01523","29102_1#74_00207","28832_1#265_00750","29102_1#189_00324","29102_1#200_00118","29102_1#43_00932","29102_1#185_00241","29102_1#270_01010","29102_1#14_00366","29102_1#144_00424","29102_1#133_01248","29102_1#217_00844","29102_1#290_01148","29102_1#108_00600","29102_1#320_00745","29102_1#183_00996","29102_1#125_00460","29102_1#186_00807","28832_1#134_00135","28832_1#278_00749","29102_1#101_00844","29102_1#97_00207","29102_1#41_00194","28832_1#223_00633","29102_1#213_01127","28832_1#189_01354","29102_1#71_01516","29102_1#57_01191","29102_1#230_01401","29102_1#209_00478","29102_1#227_00236","29102_1#33_01582","28832_1#280_02068","28832_1#162_00205","28832_1#332_01490","28832_1#273_00989","29102_1#167_01104","29102_1#90_00062","28832_1#157_01098","29102_1#54_01482"
"era","","GTP-binding protein Era","100","100","1","1","2188","","","","899","899","899","16288_3#7_01517","17138_5#50_01019","16288_7#10_01812","16288_7#12_01768","16288_7#20_01537","16288_3#12_01927","16288_3#14_00609","16288_8#60_01095","16288_3#34_00187","16288_3#43_00734","17138_5#56_01548","16288_7#55_01528","16288_7#74_00198","16288_7#82_01211","16288_7#83_01514","16288_8#40_01514","16288_8#44_01766","16288_8#47_01577","16288_8#50_01509","16288_3#71_01491","16288_3#81_01827","16288_3#54_01767","16288_4#43_01271","16288_4#49_01577","16288_4#52_01551","16288_4#59_00518","16288_4#69_01219","16288_4#73_01170","16288_4#83_01436","16288_5#5_00632","16288_5#46_00178","16288_5#19_00917","16288_5#23_02005","16288_5#31_01004","16288_5#33_01370","16288_5#40_01177","16288_5#44_01422","16288_5#45_01912","16288_5#54_00947","16288_5#60_01626","16288_5#75_01402","17138_5#13_00646","16288_6#15_01857","16288_6#30_01021","17138_5#31_01304","16288_6#49_00780","17138_5#34_00946","16288_6#73_01358","16288_8#64_00904","28832_1#91_00350","28832_1#9_01307","28832_1#113_00538","28832_1#125_01571","28832_1#324_02043","28832_1#160_00352","28832_1#245_02078","28832_1#116_00109","28832_1#145_00031","28832_1#229_00865","28832_1#253_01702","28832_1#340_01133","29102_1#74_02138","28832_1#265_02101","29102_1#189_00154","29102_1#200_00419","29102_1#43_01292","29102_1#185_00552","29102_1#270_00698","29102_1#14_01968","29102_1#144_00947","29102_1#133_00480","29102_1#217_00031","29102_1#290_00031","29102_1#108_01803","29102_1#320_01195","29102_1#183_00025","29102_1#125_01478","29102_1#186_01472","28832_1#134_00547","28832_1#278_01732","29102_1#101_00158","29102_1#97_01889","29102_1#41_01919","28832_1#223_01777","29102_1#213_01658","28832_1#189_00804","29102_1#71_01776","29102_1#57_01290","29102_1#230_00737","29102_1#209_01466","29102_1#227_01065","29102_1#33_01496","28832_1#280_02118","28832_1#162_00871","28832_1#332_00431","28832_1#273_01851","29102_1#167_00329","29102_1#90_01496","28832_1#157_01262","29102_1#54_00120"
"acpS","","4'-phosphopantetheinyl transferase","100","100","1","1","5260","","","","368","368","368","16288_3#7_00885","17138_5#50_01753","16288_7#10_00271","16288_7#12_01195","16288_7#20_00164","16288_3#12_00731","16288_3#14_00106","16288_8#60_00515","16288_3#34_00425","16288_3#43_00380","17138_5#56_00878","16288_7#55_01023","16288_7#74_01992","16288_7#82_01278","16288_7#83_01068","16288_8#40_00793","16288_8#44_02006","16288_8#47_00944","16288_8#50_00510","16288_3#71_00201","16288_3#81_00123","16288_3#54_01133","16288_4#43_00885","16288_4#49_01518","16288_4#52_00217","16288_4#59_00018","16288_4#69_01864","16288_4#73_00442","16288_4#83_00872","16288_5#5_01077","16288_5#46_00856","16288_5#19_00444","16288_5#23_00073","16288_5#31_00115","16288_5#33_00197","16288_5#40_00110","16288_5#44_00832","16288_5#45_00701","16288_5#54_00782","16288_5#60_01578","16288_5#75_00619","17138_5#13_00173","16288_6#15_00367","16288_6#30_00546","17138_5#31_01082","16288_6#49_01494","17138_5#34_01192","16288_6#73_00072","16288_8#64_01674","28832_1#91_00999","28832_1#9_00928","28832_1#113_01020","28832_1#125_01414","28832_1#324_00630","28832_1#160_01086","28832_1#245_00181","28832_1#116_01266","28832_1#145_01345","28832_1#229_01406","28832_1#253_00184","28832_1#340_00678","29102_1#74_00167","28832_1#265_00707","29102_1#189_00363","29102_1#200_00077","29102_1#43_00891","29102_1#185_00199","29102_1#270_00969","29102_1#14_00327","29102_1#144_00466","29102_1#133_01209","29102_1#217_00886","29102_1#290_01500","29102_1#108_00559","29102_1#320_00704","29102_1#183_00955","29102_1#125_00500","29102_1#186_00847","28832_1#134_00175","28832_1#278_00708","29102_1#101_00804","29102_1#97_00247","29102_1#41_00154","28832_1#223_00592","29102_1#213_02113","28832_1#189_01393","29102_1#71_01071","29102_1#57_01150","29102_1#230_01441","29102_1#209_00518","29102_1#227_00172","29102_1#33_01387","28832_1#280_01957","28832_1#162_00165","28832_1#332_01451","28832_1#273_01031","29102_1#167_01146","29102_1#90_00102","28832_1#157_01391","29102_1#54_01442"
"galE_1","","UDP-glucose 4-epimerase","100","100","1","1","5128","","","","1019","1019","1019","16288_3#7_00010","17138_5#50_00478","16288_7#10_01067","16288_7#12_01329","16288_7#20_00329","16288_3#12_00656","16288_3#14_00018","16288_8#60_00592","16288_3#34_00511","16288_3#43_00454","17138_5#56_00949","16288_7#55_00799","16288_7#74_02011","16288_7#82_01789","16288_7#83_00991","16288_8#40_01357","16288_8#44_02080","16288_8#47_00929","16288_8#50_00725","16288_3#71_01803","16288_3#81_00981","16288_3#54_01367","16288_4#43_02116","16288_4#49_02051","16288_4#52_01286","16288_4#59_00102","16288_4#69_00293","16288_4#73_00519","16288_4#83_00947","16288_5#5_02090","16288_5#46_00757","16288_5#19_01769","16288_5#23_00146","16288_5#31_00029","16288_5#33_00887","16288_5#40_00908","16288_5#44_00908","16288_5#45_00777","16288_5#54_02050","16288_5#60_01137","16288_5#75_00547","17138_5#13_00247","16288_6#15_00292","16288_6#30_01819","17138_5#31_01169","16288_6#49_01993","17138_5#34_02173","16288_6#73_00147","16288_8#64_00863","28832_1#91_01098","28832_1#9_01003","28832_1#113_01116","28832_1#125_01170","28832_1#324_00719","28832_1#160_00816","28832_1#245_00255","28832_1#116_01189","28832_1#145_01422","28832_1#229_01327","28832_1#253_00108","28832_1#340_01555","29102_1#74_00240","28832_1#265_00796","29102_1#189_00286","29102_1#200_00154","29102_1#43_01723","29102_1#185_00276","29102_1#270_01045","29102_1#14_00422","29102_1#144_00370","29102_1#133_01293","29102_1#217_00810","29102_1#290_01182","29102_1#108_00639","29102_1#320_00779","29102_1#183_01045","29102_1#125_00425","29102_1#186_00772","28832_1#134_00089","28832_1#278_00782","29102_1#101_00891","29102_1#97_00163","29102_1#41_00239","28832_1#223_00667","29102_1#213_01160","28832_1#189_02060","29102_1#71_01472","29102_1#57_01228","29102_1#230_01368","29102_1#209_00444","29102_1#227_02009","29102_1#33_01616","28832_1#280_02021","28832_1#162_00254","28832_1#332_01528","28832_1#273_00954","29102_1#167_01070","29102_1#90_00027","28832_1#157_01141","29102_1#54_01517"
"yesO_2","","extracellular solute-binding protein","100","100","1","1","5239","","","","1337","1337","1337","16288_3#7_00893","17138_5#50_01761","16288_7#10_01001","16288_7#12_01972","16288_7#20_00172","16288_3#12_00723","16288_3#14_00097","16288_8#60_00524","16288_3#34_00433","16288_3#43_00390","17138_5#56_00886","16288_7#55_01031","16288_7#74_02035","16288_7#82_01286","16288_7#83_01060","16288_8#40_00802","16288_8#44_01999","16288_8#47_00862","16288_8#50_02191","16288_3#71_00193","16288_3#81_00115","16288_3#54_01125","16288_4#43_00877","16288_4#49_00568","16288_4#52_00209","16288_4#59_00026","16288_4#69_01872","16288_4#73_00450","16288_4#83_00881","16288_5#5_01085","16288_5#46_00864","16288_5#19_01552","16288_5#23_00081","16288_5#31_00107","16288_5#33_00206","16288_5#40_00118","16288_5#44_00841","16288_5#45_00709","16288_5#54_00774","16288_5#60_01569","16288_5#75_00611","17138_5#13_00181","16288_6#15_00357","16288_6#30_00538","17138_5#31_01089","16288_6#49_00278","17138_5#34_01184","16288_6#73_00080","16288_8#64_00795","28832_1#91_01007","28832_1#9_00937","28832_1#113_01029","28832_1#125_01404","28832_1#324_00639","28832_1#160_00887","28832_1#245_00189","28832_1#116_01258","28832_1#145_01353","28832_1#229_01398","28832_1#253_00175","28832_1#340_00687","29102_1#74_00176","28832_1#265_00716","29102_1#189_00355","29102_1#200_00085","29102_1#43_00898","29102_1#185_00207","29102_1#270_00978","29102_1#14_00335","29102_1#144_00457","29102_1#133_01217","29102_1#217_00878","29102_1#290_01508","29102_1#108_00568","29102_1#320_00712","29102_1#183_00963","29102_1#125_00492","29102_1#186_00839","28832_1#134_00167","28832_1#278_00716","29102_1#101_00812","29102_1#97_00239","29102_1#41_00162","28832_1#223_00600","29102_1#213_01095","28832_1#189_01385","29102_1#71_01063","29102_1#57_01159","29102_1#230_01432","29102_1#209_00510","29102_1#227_00180","29102_1#33_01379","28832_1#280_01948","28832_1#162_00173","28832_1#332_01459","28832_1#273_01022","29102_1#167_01137","29102_1#90_00094","28832_1#157_01400","29102_1#54_01450"
"rpoB","","DNA-directed RNA polymerase subunit beta","100","100","1","1","4416","","","","3611","3611","3611","16288_3#7_01326","17138_5#50_00185","16288_7#10_01477","16288_7#12_00802","16288_7#20_01718","16288_3#12_01430","16288_3#14_01284","16288_8#60_01563","16288_3#34_01407","16288_3#43_01343","17138_5#56_01839","16288_7#55_01116","16288_7#74_01319","16288_7#82_01617","16288_7#83_01432","16288_8#40_01067","16288_8#44_00968","16288_8#47_01303","16288_8#50_00250","16288_3#71_01112","16288_3#81_01492","16288_3#54_01614","16288_4#43_01331","16288_4#49_00938","16288_4#52_01074","16288_4#59_00415","16288_4#69_01726","16288_4#73_01656","16288_4#83_01553","16288_5#5_01381","16288_5#46_01511","16288_5#19_00866","16288_5#23_01093","16288_5#31_01690","16288_5#33_01002","16288_5#40_01252","16288_5#44_00054","16288_5#45_01946","16288_5#54_01598","16288_5#60_01380","16288_5#75_01612","17138_5#13_01929","16288_6#15_00926","16288_6#30_00627","17138_5#31_01976","16288_6#49_00986","17138_5#34_01758","16288_6#73_00745","16288_8#64_01421","28832_1#91_01992","28832_1#9_01996","28832_1#113_01501","28832_1#125_01874","28832_1#324_01961","28832_1#160_01401","28832_1#245_01889","28832_1#116_01968","28832_1#145_01746","28832_1#229_01705","28832_1#253_01149","28832_1#340_01363","29102_1#74_01508","28832_1#265_02008","29102_1#189_01934","29102_1#200_01771","29102_1#43_01788","29102_1#185_00770","29102_1#270_01575","29102_1#14_01314","29102_1#144_02073","29102_1#133_01850","29102_1#217_02057","29102_1#290_02043","29102_1#108_01630","29102_1#320_01692","29102_1#183_02047","29102_1#125_01737","29102_1#186_01887","28832_1#134_01786","28832_1#278_00055","29102_1#101_02010","29102_1#97_01273","29102_1#41_01758","28832_1#223_01590","29102_1#213_01586","28832_1#189_01877","29102_1#71_01693","29102_1#57_00615","29102_1#230_02128","29102_1#209_01765","29102_1#227_01549","29102_1#33_02066","28832_1#280_01254","28832_1#162_01995","28832_1#332_01842","28832_1#273_01716","29102_1#167_01507","29102_1#90_02021","28832_1#157_00299","29102_1#54_01815"
"lolD_2","","ABC transporter ATP-binding protein","100","100","1","1","5197","","","","701","701","701","16288_3#7_00279","17138_5#50_00521","16288_7#10_01036","16288_7#12_01297","16288_7#20_00207","16288_3#12_00688","16288_3#14_00063","16288_8#60_00559","16288_3#34_00467","16288_3#43_00423","17138_5#56_00919","16288_7#55_01067","16288_7#74_01574","16288_7#82_01856","16288_7#83_01024","16288_8#40_01325","16288_8#44_00271","16288_8#47_00897","16288_8#50_00693","16288_3#71_00158","16288_3#81_00081","16288_3#54_01307","16288_4#43_00840","16288_4#49_00604","16288_4#52_00174","16288_4#59_00058","16288_4#69_00248","16288_4#73_00484","16288_4#83_00916","16288_5#5_01123","16288_5#46_00714","16288_5#19_01585","16288_5#23_00115","16288_5#31_00073","16288_5#33_00917","16288_5#40_00951","16288_5#44_00875","16288_5#45_00745","16288_5#54_00739","16288_5#60_01095","16288_5#75_00576","17138_5#13_00216","16288_6#15_00323","16288_6#30_00503","17138_5#31_01125","16288_6#49_00241","17138_5#34_02255","16288_6#73_00114","16288_8#64_00829","28832_1#91_01041","28832_1#9_00972","28832_1#113_01064","28832_1#125_01370","28832_1#324_00677","28832_1#160_00850","28832_1#245_00222","28832_1#116_01224","28832_1#145_01387","28832_1#229_01364","28832_1#253_00140","28832_1#340_01525","29102_1#74_00209","28832_1#265_00754","29102_1#189_00320","29102_1#200_00120","29102_1#43_00935","29102_1#185_00243","29102_1#270_01012","29102_1#14_00368","29102_1#144_00422","29102_1#133_01250","29102_1#217_00842","29102_1#290_01150","29102_1#108_00602","29102_1#320_00747","29102_1#183_00998","29102_1#125_00458","29102_1#186_00805","28832_1#134_00132","28832_1#278_00751","29102_1#101_00846","29102_1#97_00205","29102_1#41_00196","28832_1#223_00635","29102_1#213_01129","28832_1#189_01352","29102_1#71_01514","29102_1#57_01195","29102_1#230_01399","29102_1#209_00476","29102_1#227_00238","29102_1#33_01584","28832_1#280_02066","28832_1#162_00207","28832_1#332_01493","28832_1#273_00987","29102_1#167_01102","29102_1#90_00060","28832_1#157_01100","29102_1#54_01484"
"yecS_1","","amino acid ABC transporter permease","100","100","1","1","4728","","","","641","641","641","16288_3#7_00111","17138_5#50_00562","16288_7#10_01376","16288_7#12_00081","16288_7#20_00430","16288_3#12_00090","16288_3#14_01493","16288_8#60_01420","16288_3#34_00124","16288_3#43_00822","17138_5#56_00078","16288_7#55_01845","16288_7#74_00135","16288_7#82_00394","16288_7#83_01580","16288_8#40_00089","16288_8#44_00150","16288_8#47_00152","16288_8#50_01586","16288_3#71_00409","16288_3#81_01922","16288_3#54_01827","16288_4#43_00190","16288_4#49_00013","16288_4#52_00012","16288_4#59_01764","16288_4#69_00394","16288_4#73_01314","16288_4#83_01330","16288_5#5_00142","16288_5#46_01243","16288_5#19_00451","16288_5#23_01968","16288_5#31_00908","16288_5#33_01794","16288_5#40_00679","16288_5#44_01540","16288_5#45_02052","16288_5#54_01358","16288_5#60_00277","16288_5#75_02131","17138_5#13_01505","16288_6#15_01098","16288_6#30_01725","17138_5#31_01791","16288_6#49_01883","17138_5#34_02059","16288_6#73_01918","16288_8#64_01127","28832_1#91_01199","28832_1#9_01108","28832_1#113_01218","28832_1#125_01067","28832_1#324_01764","28832_1#160_00715","28832_1#245_00428","28832_1#116_01024","28832_1#145_00739","28832_1#229_02079","28832_1#253_00010","28832_1#340_00772","29102_1#74_00339","28832_1#265_01697","29102_1#189_00987","29102_1#200_00257","29102_1#43_01347","29102_1#185_00380","29102_1#270_01769","29102_1#14_01571","29102_1#144_00268","29102_1#133_00036","29102_1#217_00712","29102_1#290_01280","29102_1#108_00737","29102_1#320_00875","29102_1#183_01199","29102_1#125_01688","29102_1#186_00672","28832_1#134_01262","28832_1#278_01457","29102_1#101_00992","29102_1#97_00062","29102_1#41_01426","28832_1#223_00768","29102_1#213_00919","28832_1#189_00083","29102_1#71_01231","29102_1#57_01633","29102_1#230_02203","29102_1#209_00340","29102_1#227_01435","29102_1#33_00565","28832_1#280_00827","28832_1#162_00409","28832_1#332_01166","28832_1#273_00063","29102_1#167_01759","29102_1#90_01653","28832_1#157_01678","29102_1#54_00562"
